,bookingReference,NPSReason,Topic
0,7876382,We booked our holiday to Gran Canaria a few weeks before Claire in Tui in Omagh was extremely helpful in that she had been to the area and hotel so was able to give us first hand information on everything booking was very straight forward with all docume,booking
1,7876390,Booking process nice and easy. Being able to update and adjust booking through web site very useful.,booking
2,7876400,Staff at travel agency were very helpful and found the ideal holiday for my friend and I. Communication and organisation was good throughout the booking process and during the travel and holiday itself. The hotel was excellent - very clean and in a good ,booking
3,7876404,Resort reps not interested,booking
4,7876407,Holiday was good and rep at resort was very informative. Best welcome meeting for many a year. Check in was slow and confusing at Manchester. 1hr delayed outbound. Staff on return flight weren't customer focused.,booking
5,7876408,Special Assisstance could have made sure the hearing loop they promised would be available on the plane was actually available. They could have also made sure they passed on the information about the cabin crew asking the people in front not to recline a,flights
6,7876410,Firstly the difference between 4T and 4* should be made more clear as interpretation of each is slightly misleading. From the web site I used there no real indication that the hotel was family oriented  so in both instances more clarity needed. However t,booking
7,7876418,We were very disappointed with the service we received from most of the pool bar staff. We felt we were treated with contempt. Guests who did not have a blue wrist band (all inclusive guests were given a blue wrist band) were prioritised  and we were oft,hotel
8,7876419,24 hour homeward flight delay...more onformation earlier on delay,flights
9,7876428,It was perfect,great
10,7876440,The whole holiday was excellent. Efficient staff throughout our time away. Hotel staff were exceptional and couldn't do enough for us. Ex collect!,hotel
11,7876441,Friendly staff On time flights Good range of products on board the aircrcaft Very good with baby - pushchair on at the last minute and staff really kind and talking to baby lots. Based on th,booking
12,7876461,Excellent,great
13,7876462,No online check in   unhelpful phone in staff giving wrong info to go ask at the airport prior to departure date,booking
14,7876472,Overall there was much that was good but tbe flights were uncomfortable,flights
15,7876479,I was quite upset that the price of our flights increased 3 times during the booking process (external flight provider  but 3x in 5minutes is not right). Well organised trip and wonderful hotel staff. Good kids entertainment.,flights
16,7876481,Flight there was 2 hours delayed  they also moved our flight home an hour earlier. So we had less time on holiday. Also the food at the hotel wasn’t very good  so I feel a bit let down of what I was expecting my all inclusive holiday to be.,flights
17,7876483,Never had one problem from booking holiday to flights and hotel there was always a tui rep on hand to help we had no problems whatsoever with any part of our holiday experience,flights
18,7876488,Long waiting time in coach at airport ??,flights
19,7876493,Booking great  accommodation  activities  food and drink excellent. Spotlessly clean. Motivated and hardworking staff. Good transfers. Only thing is to make it clearer that it is so heavily German. Fine for us  but not for everyone. We will definitely re,accommodation
