bookingReference,NPSReason
7876382,We booked our holiday to Gran Canaria a few weeks before Claire in Tui in Omagh was extremely helpful in that she had been to the area and hotel so was able to give us first hand information on everything booking was very straight forward with all docume
7876390,Booking process nice and easy. Being able to update and adjust booking through web site very useful.
7876400,Staff at travel agency were very helpful and found the ideal holiday for my friend and I. Communication and organisation was good throughout the booking process and during the travel and holiday itself. The hotel was excellent - very clean and in a good 
7876404,Resort reps not interested
7876407,Holiday was good and rep at resort was very informative. Best welcome meeting for many a year. Check in was slow and confusing at Manchester. 1hr delayed outbound. Staff on return flight weren't customer focused.
7876408,Special Assisstance could have made sure the hearing loop they promised would be available on the plane was actually available. They could have also made sure they passed on the information about the cabin crew asking the people in front not to recline a
7876410,Firstly the difference between 4T and 4* should be made more clear as interpretation of each is slightly misleading. From the web site I used there no real indication that the hotel was family oriented  so in both instances more clarity needed. However t
7876418,We were very disappointed with the service we received from most of the pool bar staff. We felt we were treated with contempt. Guests who did not have a blue wrist band (all inclusive guests were given a blue wrist band) were prioritised  and we were oft
7876419,24 hour homeward flight delay...more onformation earlier on delay
7876428,It was perfect
7876440,The whole holiday was excellent. Efficient staff throughout our time away. Hotel staff were exceptional and couldn't do enough for us. Ex collect!
7876441,Friendly staff On time flights Good range of products on board the aircrcaft Very good with baby - pushchair on at the last minute and staff really kind and talking to baby lots. Based on th
7876461,Excellent
7876462,No online check in   unhelpful phone in staff giving wrong info to go ask at the airport prior to departure date
7876472,Overall there was much that was good but tbe flights were uncomfortable
7876479,I was quite upset that the price of our flights increased 3 times during the booking process (external flight provider  but 3x in 5minutes is not right). Well organised trip and wonderful hotel staff. Good kids entertainment.
7876481,Flight there was 2 hours delayed  they also moved our flight home an hour earlier. So we had less time on holiday. Also the food at the hotel wasn’t very good  so I feel a bit let down of what I was expecting my all inclusive holiday to be.
7876483,Never had one problem from booking holiday to flights and hotel there was always a tui rep on hand to help we had no problems whatsoever with any part of our holiday experience
7876488,Long waiting time in coach at airport ??
7876493,Booking great  accommodation  activities  food and drink excellent. Spotlessly clean. Motivated and hardworking staff. Good transfers. Only thing is to make it clearer that it is so heavily German. Fine for us  but not for everyone. We will definitely re
7876500,All went well  no problems really. Waited a long time on Coach at Palma  over half hour  confusion with coach at hotel on return.
7876503,Everything went really well - we felt we were looked after and our holidays was super from the begining once we bookeed it in Tui office in Milton Keynes till the end. Thank you a lot!
7876506,This is the third Tui sensimar holiday this year and on balance this was the least enjoyable. The good  the people and the cleanliness. The worst  the food ( cold and very poor choice  compared to other sensimar experiences ) and entertainment was at bes
7876520,I have just returned from a flight-only deal to La Palma for 10 days. A few months after booking the outward leg was cancelled and I had a choice of cancelling  or changing to a week's stay or changing the outward leg from Manchester to Gatwick. I chose 
7876522,See complaint submitted
7876530,Better facilities and food in the premium lounge in Sanford Orlando Florida airport
7876531,Service and staff are very good and proffessional. There really is not too much which can be improved.
7876538,The shocking treatment we received as a result of a 15hr delay
7876547,The hotel was amazing but the flight was possibly the most uncomfortable i have ever experienced
7876555,The Tui Rep in our resort was fantastic  the hotel unfortunately severely lacking in customer focused service. The hotel was not cleaned well  indeed on leaving our hotel room we found both a sock and a glass tumbler under the bed. Neither belonged to us
7876557,The resort was great only feed back was the reservation of sun loungers with towels in morning should not be permitted . Also variety of food and quality of food also every drink I had to pay for as my requests never part of all inclusive
7876562,The hotel itself was very good as it always is. The transfers in and out were a nightmare. This started with poor organisation as to where to go. On the way home the bus dropped everyone nearly half a mile away from the terminal and left everyone to unlo
7876565,Lovely hotel  food and weather
7876574,I booked my holiday to Portugal online after doing my research on the TUI website The booking processes was so quick and simple  I got exactly what I booked
7876576,TUI itself is great  the booking in the staff  the plane staff  all great  ‘normal’ people. We really enjoy flying with TUI as you have normal staff of all ages. Friendly and approachable reps. This time the hotel let us down really. We felt that because
787658,I'm a single parent and have been with first choice twice. The first time I booked an abroad holiday was with yourselves. I was very scared at first but when got there was looked after by reps and made to feel save and relaxed. Really good experience couldn't have asked for better holidays
7876582,Great holiday  activities people food and service great
7876586,Everything was brilliant always travel with first choice from start to finish very friendly and helpful hotel and food was excellent transfer was quick brilliant for children will be booking for next yr with my grandkids and family
7876587,Overall the holiday was excellent with just a few niggles flight out was fine and on time coach to the ship was also good and boarding was excellent as well.cabin was large and quite well equipped except for the tv too small and all the satellite channel
7876600,The Barut Sensatori Fetihye   Exceeded our Expectations   we loved the staff   they were so focused on us  having a great 10day stay one word   fantastic!!!!
7876606,To whom it may concern: Upon departure  While checking our suitcase in  my fiancé and I were over weight by 4 kilos. However we were informed by the lady checking us in that it was ok as my fiancé never had hand luggage and therefore we were within our c
7876607,the coach driver could not speak English a lot of people did not understand what he was saying when stopping at hotels.
7876610,We stayed at Riu Yucatan hotel definitely not a 5 star  room stunk of damp which made all my clothes smell foist! Staff lovely and friendly worked hard m
7876613,Positives On arrival we were upgraded to a 3 bed villa with a swim up pool  Ground and pools were really good All the food was excellent Negatives The telephone booking system was a failure  we only managed to book 2 a la cart restaurants in a 14 day hol
7876614,Flight out fine  hotel great  however the flight home was a fiasco and was like the flight from *****. This was my third Tui holiday this year but am now seriously considering whether to use Tui again in future.
7876618,Online booking system is really simple  detailed and easy to use. You were the most competitive in terms of price for the whole of this summer  for both your villas and your package holidays. The TUI rep whilst we were at the Sarakina was no where to be 
787662,"Return Flight - Service and choice of Food was not as good as the Outbound flight, and been as we upgraded "
7876629,Grear
7876632,I booked the holiday in a store in Coventry  I needed to do a name change on the booking 3 days before. Online stated upto 24 hours before travelling. I called one evening  the lady I spoke to in the store wasn't interested in helping me as it was close 
7876641,Only had the return flight and no problems what so ever a nice experience
7876642,Overall was a great holiday at a really competitive price! However this is the second holiday in as many years where I’ve used tui and my luggage has been damaged in transit.
7876649,All very good . Hotel spotless food choices very good. Should be free WiFi fridges and safes these days the times they have been paid for.
7876650,No rep in the resort. Initially given a very substandard room. After complaining given a slightly better room. Arrived in hotel at 2:30  food finished at 2 so no option to eat. Took 2 days to find the all inclusive restaurant  so ate out. When we found t
7876657,The transport  including transfers  were comfortable and on time. The hotel was nice although the beach was slightly disappointing. There were plenty of sunbeds and the rule to keep them free before 10am worked really well. There were a large number of f
7876662,Hotel pool was freezing so couldn't even swim in it we complained about it but got told there was nothing they could do  also the air conditioning was switched to winter mode so the rooms were so hot and couldn't sleep at night when it was 28 degrees out
7876668,The booking system for the a la carte meal was not ideal and this did in fact cause us to miss the opportunity to sample the restaurant meal -we were both disappointed even though the hotel concierge was helpful.A system better than a screen would be pro
7876677,What went well? The hotel and area where we stayed was really nice. The flights and transfers were easy and all went well. What could have been improved? Queuing to get to check in on the flight back took a very long time and was disorganised. We were un
7876680,Accommodation was good. Taken to airport on return to early
7876693,Transfers take a very long time to and from the airport. The TUI rep at the hotel was friendly and helpful.
7876704,Good food  great service  enjoyable entertainment. Only negative was the cabin location. We were in 6222 which was at the extreme stern and so over the propellers  which meant it was noisy and vibrated a lot. There should be a graduating cabin cost so th
7876705,We use Tui often for our family holiday bookings  however on this occasion we were really disappointed with the all inclusive package deal and don't feel we received value for money and had a terrible experience!!!! The hotel itself we believe doesn't me
7876706,Entertainment at night poor
7876707,Previously travelled with yourselves and had really good experiences and nothing changed on this trip. Webside easy to use  making booking straightforward. Airport and flight experience were great and went to schedule. Resort reps available daily  not th
7876709,No issue from booking until arriving home
7876720,Everything from start to finish was excellent
7876721,We always choose Marella cruises would not think of cruising with anyone else  I think that says it all.
7876730,The consistency of the staff   some were extremely friendly and helpful some were absolutely rude. The holiday started with the most rudest man taking our luggage to our room not a good first impression. It’s a shame because the actual hotel was fantasti
7876733,Every thing was perfect  the hotel the staff could not do enough for you .food at the hotel was great  our flights there and back was excellent
7876747,Check in at airport quick and easy hotel as described no problem with anythw
7876752,Flights were on time transfer from burgas to sunny beach took too long due to being sat on the bus for 30mins before setting off with no explaination
7876754,Generally very good but the excursion to Troodos wasn’t. Poor lunch  food extremely salty and unappetising.
7876755,Food wasn’t very good not much selection Hotel lovely & clean lots of staff to serve food & drinks & help with anything Lovely pools & surroundings holiday reps were very helpful & always there to answer any questions
7876757,Good hotel but location was much further from Limassol than we had anticipated and transfers were much longer than suggested
7876777,Me and my partner had our first sensatori holiday  before the birth of our first child. We wanted to relax but also have things to do. It was amazing start to finish from the flight on the dreamliner to the hotel and transfers. We didn't have to think ab
7876784,The holiday run smoothly from start to finish from the flight to the accommodation which was an accurate description from your web site. Smooth transfers to hotel and lovely greeting when we arrived at our hotel.
7876803,Easy process
7876806,flights on time both ways. Hotel was good in some respects and only adequate in others. We booked half board which was the only available option. However  the buffet dinner was repetitive and only adequate and we paid to eat at restaurants outside the ho
7876827,The way we were welcomed and the info they needed to find us the perfect holiday. Giving their personal experiences made it more easier and comfortable to pick the perfect holiday. The way they looked for all the info and all the questions we asked they 
7876829,Overall I really enjoyed this holiday all the staff were really friendly and helpful some guests were complaining about cleanliness around the pool and rooms etc. The hotel staff jumped through hoops to address these complaints and started hosing down po
7876830,flight - outbound flight was with Norwegian Air - seats roomy and comfortable  good choice of food on board. flight - return flight was with Tiu  seats much smaller not so comfortable  good choice of food on board. Hotel - definitely NOT a 5 star
787684,Everything was as advertised
7876847,On our departure from Belfast the trip started badly with a delayed flight  it was only an hour delay but it did get us of to a poor start. When we got under way the cabin crew announced that they had empty extra room seats available and to ask for a cos
7876864,I stayed at the Nissaki Beach Hotel  Corfu  and the only facility I would recommend is that the hotel has a better shop. Whilst staying at this hotel I craved for chocolate but was disappointed that the nearest shop was a good 50 minutes walk away. Apart
7876876,Fantastic holiday. Easily booked online using TUI website for a very good deal. Transfers ran smoothly. Hotel was absolutely brilliant. Great facilities  attentive staff and excellent activities organised by the hotel. We were half board and as I am a ve
7876877,Good service
7876883,The TUI rep who was there (Jade Inman) was really nice  when I explained I was there by myself she made sure that I felt welcome and that I knew I could go talk to her whenever I wanted. Having the same first name we bonded pretty quickly! All the staff 
7876903,Could not fault the whole first choice / tui experience from the flights to the hotel . Hotel staff helpful and friendly   food excellent and plenty of variet Plenty of facilities for the whole family
7876904,Everything seemed very easy and straightforward. Booking was simple  any issues could be fixed through the app. Hotel exceeded expectations and on the whole the experience was excellent. We did book a trip which was cancelled less than 12 hrs before  thi
7876905,The personnel is really useful welcoming.The Fly was in perfect time! It’s a shame i didn’t have any chance for the check in on line
7876913,The car hire was suppose to be free but we ended up paying over 809 dollars!!! Total rip off could have paid for car hire at home and got it cheaper. Called ahead to speak to someone and as assured it would all be fine when we arrived at airport. It wasn
7876916,I think the service is outstanding had no problems booking my holiday online got all the information I needed all the documents kept sending emails about the holiday felt very informed and happy about booking my holiday with first choice and would recomm
7876917,Transfers were well organised  the on site rep Lindsay was excellent  very friendly and knowledgeable. She was able to answer any questions that we had using her local knowledge
7876925,If booking all inclusive it takes the hassle out of applying filtersp
7876930,Had a fab time  all went well except for an over zealous check in assistant who made me put my hand luggage in the hold for a few grammes .
7876933,Everything went well from start to finish. 1 possible improvement would be the availability of an ATM at the resort.
